{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.1485962600798259, 'Primal_time': 4.747715, 'Dual': 0.1485926289658376, 'Dual_time': 3.832686, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.14222278357122406, 'res_plus_time': 13.519884, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.2063977891741632, 'Primal_time': 4.393272, 'Dual': 0.2063929115752472, 'Dual_time': 3.75087, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.16923854003251518, 'res_plus_time': 14.305778, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': -0.0018893659451715468, 'Primal_time': 4.821016, 'Dual': -0.0018896700356614917, 'Dual_time': 3.89354, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -0.001893631240902459, 'res_plus_time': 0.003729, 'status_res_plus': 1.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.059013954369776765, 'Primal_time': 4.008495, 'Dual': 0.05260375720953674, 'Dual_time': 4.650463, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.03010681210312516, 'res_plus_time': 11.861554, 'status_res_plus': 0.0}
{'target': 0, 'label': 1, 'model_name': '', 'Primal': 0.006275487704496593, 'Primal_time': 4.380233, 'Dual': 0.006270590638647304, 'Dual_time': 3.668284, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.004416993211327868, 'res_plus_time': 14.163339, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.018080991720815943, 'Primal_time': 4.814716, 'Dual': 0.018076035294175292, 'Dual_time': 3.983777, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.013002864405254727, 'res_plus_time': 14.764109, 'status_res_plus': 0.0}
{'target': 2, 'label': 1, 'model_name': '', 'Primal': 0.2318358264466977, 'Primal_time': 5.970162, 'Dual': 0.20949541884964634, 'Dual_time': 5.868012, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.14786654007975833, 'res_plus_time': 15.063369, 'status_res_plus': 0.0}
{'target': 0, 'label': 1, 'model_name': '', 'Primal': 0.1357539212295735, 'Primal_time': 5.077795, 'Dual': 0.12173213031076265, 'Dual_time': 5.445608, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.07383426996728991, 'res_plus_time': 19.920614, 'status_res_plus': 0.0}
{'target': 1, 'label': 1, 'model_name': '', 'Primal': 0.05340633983412367, 'Primal_time': 3.834411, 'Dual': 0.05339754209742011, 'Dual_time': 3.284275, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.045074940679710684, 'res_plus_time': 10.919189, 'status_res_plus': 0.0}
{'target': 0, 'label': 1, 'model_name': '', 'Primal': 0.0690849594771217, 'Primal_time': 4.154995, 'Dual': 0.06907937049143824, 'Dual_time': 3.699974, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.05076566234748838, 'res_plus_time': 11.234353, 'status_res_plus': 0.0}
