{'target': 0, 'label': 8, 'model_name': '', 'Primal': 3.077373014703138, 'Primal_time': 2346.74454, 'Dual': 2.78174467620504, 'Dual_time': 1634.255108, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.7034799715717279, 'res_plus_time': 3560.758768, 'status_res_plus': 0.0}
{'target': 7, 'label': 1, 'model_name': '', 'Primal': 11.67922884032207, 'Primal_time': 2546.748502, 'Dual': 11.237164436843479, 'Dual_time': 2068.509278, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 6.335197362388187, 'res_plus_time': 4901.464356, 'status_res_plus': 0.0}
{'target': 2, 'label': 7, 'model_name': '', 'Primal': 2.50351444678158, 'Primal_time': 2241.021432, 'Dual': 2.30927858926788, 'Dual_time': 2305.800631, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.8752405988264298, 'res_plus_time': 5087.702299, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 0.900503073820083, 'Primal_time': 2461.540528, 'Dual': 0.6319689004906872, 'Dual_time': 2169.940372, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.5484160653630271, 'res_plus_time': 3881.909487, 'status_res_plus': 1.0}
{'target': 1, 'label': 2, 'model_name': '', 'Primal': 6.012647475287878, 'Primal_time': 2763.217909, 'Dual': 5.833709648937964, 'Dual_time': 1754.505964, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 4.163004105965254, 'res_plus_time': 3820.849839, 'status_res_plus': 0.0}
{'target': 8, 'label': 3, 'model_name': '', 'Primal': 2.4022076419686575, 'Primal_time': 2461.716391, 'Dual': 2.2805262303023452, 'Dual_time': 1897.843163, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.550796683891564, 'res_plus_time': 5286.134176, 'status_res_plus': 0.0}
{'target': 3, 'label': 5, 'model_name': '', 'Primal': 2.4662541311589754, 'Primal_time': 2392.643764, 'Dual': 2.269708297936327, 'Dual_time': 1925.111038, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.6898482805794093, 'res_plus_time': 4385.488647, 'status_res_plus': 0.0}
{'target': 5, 'label': 6, 'model_name': '', 'Primal': 2.861435030172168, 'Primal_time': 2412.129656, 'Dual': 2.6582694228741346, 'Dual_time': 1649.897634, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.6686598204005749, 'res_plus_time': 3382.107764, 'status_res_plus': 1.0}
{'target': 7, 'label': 2, 'model_name': '', 'Primal': 1.2923700434016843, 'Primal_time': 2520.347122, 'Dual': 1.046755683106195, 'Dual_time': 1972.760045, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -1.8831049649023988, 'res_plus_time': 3434.709478, 'status_res_plus': 1.0}
{'target': 8, 'label': 5, 'model_name': '', 'Primal': 2.440743957071696, 'Primal_time': 2355.975456, 'Dual': 2.2277188235015815, 'Dual_time': 1448.423595, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.6997145164059815, 'res_plus_time': 2723.577332, 'status_res_plus': 0.0}
{'target': 3, 'label': 2, 'model_name': '', 'Primal': 1.9770079038989241, 'Primal_time': 2351.992172, 'Dual': 1.7201707033836449, 'Dual_time': 1664.613296, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.5534554968925353, 'res_plus_time': 3423.414319, 'status_res_plus': 1.0}
{'target': 6, 'label': 0, 'model_name': '', 'Primal': 7.422753817059517, 'Primal_time': 2453.125619, 'Dual': 7.152878272735136, 'Dual_time': 2008.232253, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 3.8426830189301495, 'res_plus_time': 5090.311651, 'status_res_plus': 0.0}
{'target': 7, 'label': 1, 'model_name': '', 'Primal': 8.78504930944188, 'Primal_time': 2227.167458, 'Dual': 8.26422823127903, 'Dual_time': 1587.199342, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 4.568736070194868, 'res_plus_time': 3700.565128, 'status_res_plus': 0.0}
{'target': 3, 'label': 8, 'model_name': '', 'Primal': 6.8394054040049825, 'Primal_time': 2083.107617, 'Dual': 6.590070343609732, 'Dual_time': 1909.715359, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 4.301866917207269, 'res_plus_time': 4286.571224, 'status_res_plus': 0.0}
{'target': 7, 'label': 1, 'model_name': '', 'Primal': 11.155331931956708, 'Primal_time': 2116.585, 'Dual': 10.74559069641637, 'Dual_time': 1796.444956, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 6.201701008481995, 'res_plus_time': 4328.941512, 'status_res_plus': 0.0}
{'target': 4, 'label': 6, 'model_name': '', 'Primal': 4.221375354528266, 'Primal_time': 2271.007589, 'Dual': 3.983006738834372, 'Dual_time': 1642.361313, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.9619151311213491, 'res_plus_time': 3218.120304, 'status_res_plus': 0.0}
