{'target': 0, 'label': 6, 'model_name': '', 'Primal': -7.260116997784352, 'Primal_time': 1736.338926, 'Dual': -7.471601681602369, 'Dual_time': 1339.807114, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -8.326033294128269, 'res_plus_time': 2471.411143, 'status_res_plus': 1.0}
{'target': 6, 'label': 9, 'model_name': '', 'Primal': -13.454751296805625, 'Primal_time': 1724.034699, 'Dual': -13.631552053379828, 'Dual_time': 1196.82137, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -14.596153233614665, 'res_plus_time': 1846.851418, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 2.1220167470966405, 'Primal_time': 1834.736773, 'Dual': 1.9859974770649416, 'Dual_time': 1222.390671, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 1.5871071784316066, 'res_plus_time': 1794.572367, 'status_res_plus': 0.0}
{'target': 4, 'label': 3, 'model_name': '', 'Primal': -9.154523036306925, 'Primal_time': 1796.233576, 'Dual': -9.313682651135215, 'Dual_time': 1375.592282, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -9.995822887163335, 'res_plus_time': 2051.214551, 'status_res_plus': 1.0}
{'target': 3, 'label': 9, 'model_name': '', 'Primal': -0.7218061996279203, 'Primal_time': 1571.207529, 'Dual': -0.8743385492602374, 'Dual_time': 1789.501174, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -1.7593265264865394, 'res_plus_time': 2948.498504, 'status_res_plus': 1.0}
{'target': 8, 'label': 5, 'model_name': '', 'Primal': 0.9040425711714201, 'Primal_time': 1814.751561, 'Dual': 0.8047162733904288, 'Dual_time': 1208.213759, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.272769280736273, 'res_plus_time': 1966.409535, 'status_res_plus': 0.0}
{'target': 7, 'label': 8, 'model_name': '', 'Primal': -7.940525381138295, 'Primal_time': 1668.535887, 'Dual': -8.136109244348658, 'Dual_time': 1385.316296, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -9.380537877828225, 'res_plus_time': 2015.115878, 'status_res_plus': 1.0}
{'target': 0, 'label': 1, 'model_name': '', 'Primal': -13.62965554459166, 'Primal_time': 1753.15609, 'Dual': -14.100820117361009, 'Dual_time': 1389.988633, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -16.887661680667097, 'res_plus_time': 2076.948552, 'status_res_plus': 1.0}
{'target': 8, 'label': 7, 'model_name': '', 'Primal': -6.964522402218792, 'Primal_time': 1658.911144, 'Dual': -7.188478180316718, 'Dual_time': 1552.551986, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -7.9667438989728225, 'res_plus_time': 2880.071756, 'status_res_plus': 1.0}
{'target': 0, 'label': 9, 'model_name': '', 'Primal': -12.186066574179021, 'Primal_time': 1645.328911, 'Dual': -12.340172894912934, 'Dual_time': 1176.636792, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -12.918070131119878, 'res_plus_time': 2300.11781, 'status_res_plus': 1.0}
{'target': 9, 'label': 2, 'model_name': '', 'Primal': -6.16153030319938, 'Primal_time': 1661.052399, 'Dual': -6.318821500223947, 'Dual_time': 1267.203686, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -7.363147209366987, 'res_plus_time': 2052.01347, 'status_res_plus': 1.0}
{'target': 5, 'label': 3, 'model_name': '', 'Primal': -4.280424001608754, 'Primal_time': 1652.856955, 'Dual': -4.462674272927886, 'Dual_time': 1386.243984, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -5.331460308055056, 'res_plus_time': 2712.298323, 'status_res_plus': 1.0}
{'target': 9, 'label': 5, 'model_name': '', 'Primal': -3.8456158636197797, 'Primal_time': 1708.933519, 'Dual': -3.9751257396724453, 'Dual_time': 1422.958042, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -5.459708963558829, 'res_plus_time': 2646.008526, 'status_res_plus': 1.0}
{'target': 5, 'label': 6, 'model_name': '', 'Primal': -3.412646228747314, 'Primal_time': 1653.692909, 'Dual': -3.5512921185022623, 'Dual_time': 1403.941791, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -5.004781275405255, 'res_plus_time': 2306.105139, 'status_res_plus': 1.0}
{'target': 7, 'label': 2, 'model_name': '', 'Primal': -3.8018772772301204, 'Primal_time': 1807.747104, 'Dual': -4.002800968891085, 'Dual_time': 1484.294919, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -5.089505979362578, 'res_plus_time': 2285.110566, 'status_res_plus': 1.0}
{'target': 4, 'label': 5, 'model_name': '', 'Primal': -9.277319402486286, 'Primal_time': 1769.168777, 'Dual': -9.45339395989718, 'Dual_time': 1034.52986, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -10.431680408922244, 'res_plus_time': 1893.075022, 'status_res_plus': 1.0}
{'target': 6, 'label': 2, 'model_name': '', 'Primal': -4.142682867877213, 'Primal_time': 1789.608708, 'Dual': -4.3374913638934816, 'Dual_time': 1204.888938, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.975430740334671, 'res_plus_time': 2142.953123, 'status_res_plus': 1.0}
{'target': 3, 'label': 0, 'model_name': '', 'Primal': -4.19013139230552, 'Primal_time': 1762.113016, 'Dual': -4.497457545475966, 'Dual_time': 1709.083925, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -7.910630172722091, 'res_plus_time': 2918.581699, 'status_res_plus': 1.0}
{'target': 7, 'label': 1, 'model_name': '', 'Primal': 0.49334381957271095, 'Primal_time': 1715.977791, 'Dual': 0.03276678573133733, 'Dual_time': 1039.199596, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -2.12806484886491, 'res_plus_time': 1996.005169, 'status_res_plus': 1.0}
{'target': 1, 'label': 8, 'model_name': '', 'Primal': -4.015466188915187, 'Primal_time': 1872.124302, 'Dual': -4.207083742023151, 'Dual_time': 1476.454501, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -6.0308482158363725, 'res_plus_time': 2295.455423, 'status_res_plus': 1.0}
{'target': 3, 'label': 1, 'model_name': '', 'Primal': -4.063262485730891, 'Primal_time': 1655.069322, 'Dual': -4.448923024404746, 'Dual_time': 1364.133, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -6.071924921160383, 'res_plus_time': 2207.632847, 'status_res_plus': 1.0}
